4/13/15,Pirates
4/14/15,Pirates
4/15/15,Pirates
4/17/15,Pirates
4/18/15,Pirates
4/19/15,Pirates
4/20/15,Pirates
4/21/15,Pirates
4/22/15,Pirates
4/23/15,Pirates
5/5/15,Pirates
5/6/15,Pirates
5/7/15,Pirates
5/8/15,Pirates
5/9/15,Pirates
5/10/15,Pirates
5/19/15,Pirates
5/20/15,Pirates
5/22/15,Pirates
5/23/15,Pirates
5/24/15,Pirates
5/25/15,Pirates
5/26/15,Pirates
5/27/15,Pirates
6/8/15,Pirates
6/9/15,Pirates
6/10/15,Pirates
6/12/15,Pirates
6/13/15,Pirates
6/14/15,Pirates
6/15/15,Pirates
6/16/15,Pirates
6/23/15,Pirates
6/24/15,Pirates
6/25/15,Pirates
6/26/15,Pirates
6/27/15,Pirates
6/28/15,Pirates
7/3/15,Pirates
7/4/15,Pirates
7/5/15,Pirates
7/6/15,Pirates
7/7/15,Pirates
7/8/15,Pirates
7/9/15,Pirates
7/10/15,Pirates
7/11/15,Pirates
7/12/15,Pirates
7/23/15,Pirates
7/24/15,Pirates
7/25/15,Pirates
7/26/15,Pirates
8/3/15,Pirates
8/4/15,Pirates
8/5/15,Pirates
8/7/15,Pirates
8/8/15,Pirates
8/9/15,Pirates
8/17/15,Pirates
8/18/15,Pirates
8/19/15,Pirates
8/20/15,Pirates
8/21/15,Pirates
8/22/15,Pirates
8/23/15,Pirates
8/28/15,Pirates
8/29/15,Pirates
8/30/15,Pirates
9/10/15,Pirates
9/11/15,Pirates
9/12/15,Pirates
9/13/15,Pirates
9/15/15,Pirates
9/15/15,Pirates
9/16/15,Pirates
9/17/15,Pirates
9/28/15,Pirates
9/29/15,Pirates
9/30/15,Pirates
9/30/15,Pirates
10/2/15,Pirates
10/3/15,Pirates
10/4/15,Pirates
10/7/15,Pirates
